"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"광주광역시  (2900000000)","1,463,770","592,818","          2.47","725,295","738,475","          0.98","1,459,336","603,107","          2.42","722,581","736,755","          0.98","1,456,468","616,485","          2.36","720,740","735,728","          0.98","1,450,062","633,582","          2.29","717,348","732,714","          0.98","1,441,611","645,712","          2.23","713,015","728,596","          0.98"
"광주광역시 동구 (2911000000)","95,448","45,341","          2.11","47,579","47,869","          0.99","94,475","45,452","          2.08","46,902","47,573","          0.99","98,585","47,885","          2.06","48,799","49,786","          0.98","102,897","51,029","          2.02","50,810","52,087","          0.98","103,470","52,362","          1.98","51,046","52,424","          0.97"
"광주광역시 서구 (2914000000)","306,957","124,663","          2.46","150,977","155,980","          0.97","304,172","126,751","          2.40","149,540","154,632","          0.97","300,975","128,783","          2.34","147,671","153,304","          0.96","296,576","131,373","          2.26","145,374","151,202","          0.96","291,231","132,808","          2.19","142,721","148,510","          0.96"
"광주광역시 남구 (2915500000)","218,454","88,605","          2.47","105,580","112,874","          0.94","216,369","89,574","          2.42","104,337","112,032","          0.93","218,060","92,233","          2.36","105,027","113,033","          0.93","214,579","93,295","          2.30","103,257","111,322","          0.93","215,575","95,722","          2.25","103,542","112,033","          0.92"
"광주광역시 북구 (2917000000)","438,780","180,682","          2.43","217,966","220,814","          0.99","439,773","184,617","          2.38","218,323","221,450","          0.99","433,533","187,015","          2.32","215,260","218,273","          0.99","430,431","191,997","          2.24","213,611","216,820","          0.99","427,114","195,695","          2.18","211,999","215,115","          0.99"
"광주광역시 광산구 (2920000000)","404,131","153,527","          2.63","203,193","200,938","          1.01","404,547","156,713","          2.58","203,479","201,068","          1.01","405,315","160,569","          2.52","203,983","201,332","          1.01","405,579","165,888","          2.44","204,296","201,283","          1.01","404,221","169,125","          2.39","203,707","200,514","          1.02"
