이산화탄소 (CO2),메탄 (CH4),아산화질소(N2O),sum,2018_mm
11710,50,84,11844,0.6300281410362523
6435,14,60,6509,0.335650830436462
4502,10,34,4546,0.22733543011642665
5683,15,40,5738,0.29310820504331514
2725,5,21,2751,0.12829001820890581
2492,5,19,2516,0.11532307013187663
1846,4,14,1864,0.07934668653092755
423,0,3,426,0.0
18384,42,123,18549,1.0
2250,2,15,2267,0.10158362302047123
2776,3,20,2799,0.1309385863267671
3552,2,25,3579,0.17397781824201292
3032,3,21,3056,0.14511946145781604
3954,4,29,3987,0.1964906472438338
4517,4,32,4553,0.22772167963361478
5600,5,40,5645,0.2879766043149589
1993,0,12,2005,0.08712685537714507
