지역명,관광객수
강원도,627467119
경기도,4204215820
경상남도,1000746295
경상북도,839544553
광주광역시,489660725
대구광역시,770561187
대전광역시,467616411
부산광역시,1086635516
서울특별시,3622927681
세종특별자치시,87081831
울산광역시,334305704
인천광역시,809703891
전라남도,598061532
전라북도,590728440
제주특별자치도,307718785
충청남도,682926648
충청북도,516993494
