사고번호,사고일시,사고장소,사고시간,구,구변수
2021071100100152,2021년 7월 11일 13시,대구광역시 중구 동인동4가,13,중구,7
2021071100100272,2021년 7월 11일 17시,대구광역시 북구 읍내동,17,북구,4
2021071200100106,2021년 7월 12일 09시,대구광역시 남구 이천동,9,남구,0
2021071200100138,2021년 7월 12일 10시,대구광역시 수성구 지산동,10,수성구,6
2021071200100166,2021년 7월 12일 11시,대구광역시 북구 태전동,11,북구,4
2021071200100280,2021년 7월 12일 14시,대구광역시 달서구 감삼동,14,달서구,1
2021071200100282,2021년 7월 12일 14시,대구광역시 달서구 신당동,14,달서구,1
2021071300100217,2021년 7월 13일 11시,대구광역시 중구 수동,11,중구,7
2021071300100218,2021년 7월 13일 11시,대구광역시 달서구 용산동,11,달서구,1
2021071300100367,2021년 7월 13일 15시,대구광역시 남구 대명동,15,남구,0
2021071300100369,2021년 7월 13일 15시,대구광역시 수성구 범물동,15,수성구,6
2021071300100409,2021년 7월 13일 16시,대구광역시 중구 동인동3가,16,중구,7
2021071300100463,2021년 7월 13일 17시,대구광역시 북구 서변동,17,북구,4
2021071300100519,2021년 7월 13일 18시,대구광역시 수성구 수성동1가,18,수성구,6
2021071400100007,2021년 7월 14일 00시,대구광역시 북구 복현동,0,북구,4
2021071400100060,2021년 7월 14일 06시,대구광역시 달서구 감삼동,6,달서구,1
2021071400100079,2021년 7월 14일 07시,대구광역시 서구 내당동,7,서구,5
2021071400100110,2021년 7월 14일 08시,대구광역시 달서구 유천동,8,달서구,1
2021071400100294,2021년 7월 14일 14시,대구광역시 서구 비산동,14,서구,5
2021071400100325,2021년 7월 14일 15시,대구광역시 동구 방촌동,15,동구,3
2021071400100328,2021년 7월 14일 15시,대구광역시 북구 칠성동1가,15,북구,4
2021071400100427,2021년 7월 14일 17시,대구광역시 남구 봉덕동,17,남구,0
2021071400100520,2021년 7월 14일 19시,대구광역시 동구 신서동,19,동구,3
2021071400100522,2021년 7월 14일 19시,대구광역시 수성구 매호동,19,수성구,6
2021071500100383,2021년 7월 15일 16시,대구광역시 북구 팔달동,16,북구,4
2021071500100421,2021년 7월 15일 17시,대구광역시 동구 신암동,17,동구,3
2021071500100423,2021년 7월 15일 17시,대구광역시 북구 구암동,17,북구,4
2021071500100570,2021년 7월 15일 21시,대구광역시 북구 동천동,21,북구,4
2021071500100613,2021년 7월 15일 23시,대구광역시 북구 복현동,23,북구,4
2021071500100614,2021년 7월 15일 23시,대구광역시 달서구 이곡동,23,달서구,1
2021071600100022,2021년 7월 16일 03시,대구광역시 북구 산격동,3,북구,4
2021071600100038,2021년 7월 16일 06시,대구광역시 서구 내당동,6,서구,5
2021071600100387,2021년 7월 16일 16시,대구광역시 달서구 본동,16,달서구,1
2021071600100668,2021년 7월 16일 22시,대구광역시 북구 관음동,22,북구,4
2021071700100013,2021년 7월 17일 00시,대구광역시 달성군 현풍읍,0,달성군,2
2021071700100014,2021년 7월 17일 00시,대구광역시 북구 관음동,0,북구,4
2021071700100158,2021년 7월 17일 10시,대구광역시 수성구 범어동,10,수성구,6
2021071700100281,2021년 7월 17일 13시,대구광역시 달서구 감삼동,13,달서구,1
2021071700100358,2021년 7월 17일 15시,대구광역시 수성구 상동,15,수성구,6
2021071700100360,2021년 7월 17일 15시,대구광역시 북구 대현동,15,북구,4
2021071700100361,2021년 7월 17일 15시,대구광역시 중구 계산동2가,15,중구,7
2021071700100439,2021년 7월 17일 17시,대구광역시 달서구 이곡동,17,달서구,1
2021071700100527,2021년 7월 17일 20시,대구광역시 서구 비산동,20,서구,5
2021071800100023,2021년 7월 18일 01시,대구광역시 달서구 감삼동,1,달서구,1
2021071800100329,2021년 7월 18일 18시,대구광역시 달성군 논공읍,18,달성군,2
2021071900100106,2021년 7월 19일 08시,대구광역시 달서구 송현동,8,달서구,1
2021071900100431,2021년 7월 19일 17시,대구광역시 북구 칠성동1가,17,북구,4
2021072000100149,2021년 7월 20일 10시,대구광역시 동구 신천동,10,동구,3
2021072000100313,2021년 7월 20일 15시,대구광역시 수성구 상동,15,수성구,6
2021072000100447,2021년 7월 20일 18시,대구광역시 북구 대현동,18,북구,4
2021072000100546,2021년 7월 20일 22시,대구광역시 수성구 상동,22,수성구,6
2021072000100549,2021년 7월 20일 22시,대구광역시 달성군 다사읍,22,달성군,2
2021072100100010,2021년 7월 21일 00시,대구광역시 남구 대명동,0,남구,0
2021072100100148,2021년 7월 21일 09시,대구광역시 서구 비산동,9,서구,5
2021072100100430,2021년 7월 21일 16시,대구광역시 남구 대명동,16,남구,0
2021072100100433,2021년 7월 21일 16시,대구광역시 중구 서문로2가,16,중구,7
2021072100100484,2021년 7월 21일 17시,대구광역시 수성구 지산동,17,수성구,6
2021072100100540,2021년 7월 21일 18시,대구광역시 수성구 수성동1가,18,수성구,6
2021072100100543,2021년 7월 21일 18시,대구광역시 북구 학정동,18,북구,4
2021072100100605,2021년 7월 21일 20시,대구광역시 서구 평리동,20,서구,5
2021072100100623,2021년 7월 21일 21시,대구광역시 동구 방촌동,21,동구,3
2021072200100013,2021년 7월 22일 00시,대구광역시 달서구 호산동,0,달서구,1
2021072200100020,2021년 7월 22일 01시,대구광역시 서구 내당동,1,서구,5
2021072200100171,2021년 7월 22일 10시,대구광역시 달서구 이곡동,10,달서구,1
2021072200100605,2021년 7월 22일 21시,대구광역시 달서구 대천동,21,달서구,1
2021072300100098,2021년 7월 23일 08시,대구광역시 남구 대명동,8,남구,0
2021072300100195,2021년 7월 23일 11시,대구광역시 동구 효목동,11,동구,3
2021072300100451,2021년 7월 23일 17시,대구광역시 달서구 월성동,17,달서구,1
2021072300100558,2021년 7월 23일 19시,대구광역시 달서구 진천동,19,달서구,1
2021072300100645,2021년 7월 23일 22시,대구광역시 달서구 도원동,22,달서구,1
2021072400100035,2021년 7월 24일 05시,대구광역시 북구 산격동,5,북구,4
2021072400100131,2021년 7월 24일 10시,대구광역시 서구 평리동,10,서구,5
2021072400100217,2021년 7월 24일 12시,대구광역시 동구 신서동,12,동구,3
2021072400100220,2021년 7월 24일 12시,대구광역시 중구 종로2가,12,중구,7
2021072400100338,2021년 7월 24일 15시,대구광역시 서구 비산동,15,서구,5
2021072400100412,2021년 7월 24일 17시,대구광역시 북구 복현동,17,북구,4
2021072400100452,2021년 7월 24일 18시,대구광역시 북구 침산동,18,북구,4
2021072400100588,2021년 7월 24일 23시,대구광역시 중구 삼덕동1가,23,중구,7
2021072500100135,2021년 7월 25일 12시,대구광역시 수성구 중동,12,수성구,6
2021072500100176,2021년 7월 25일 13시,대구광역시 달서구 본리동,13,달서구,1
2021072500100367,2021년 7월 25일 19시,대구광역시 달서구 신당동,19,달서구,1
2021072500100389,2021년 7월 25일 20시,대구광역시 수성구 만촌동,20,수성구,6
2021072600100022,2021년 7월 26일 04시,대구광역시 북구 칠성동1가,4,북구,4
2021072600100093,2021년 7월 26일 08시,대구광역시 달성군 다사읍,8,달성군,2
2021072600100178,2021년 7월 26일 10시,대구광역시 북구 노원동3가,10,북구,4
2021072600100220,2021년 7월 26일 11시,대구광역시 서구 내당동,11,서구,5
2021072600100381,2021년 7월 26일 15시,대구광역시 달성군 논공읍,15,달성군,2
2021072600100537,2021년 7월 26일 19시,대구광역시 수성구 지산동,19,수성구,6
2021072600100571,2021년 7월 26일 20시,대구광역시 남구 대명동,20,남구,0
