지역명,내국인지출,외국인지출,합계
강원도,1217194404,20563317,1237757721
경기도,9027829686,338920624,9366750310
경상남도,1543458928,39410045,1582868973
경상북도,1226572977,18658363,1245231340
광주광역시,987219413,12140491,999359904
대구광역시,1771314960,41254072,1812569032
대전광역시,1342966520,27356271,1370322791
부산광역시,3231025903,358703617,3589729520
서울특별시,12651878804,3343320291,15995199095
세종특별자치시,96428595,704452,97133047
울산광역시,589507791,12948947,602456738
인천광역시,2163958916,511325570,2675284486
전라남도,864242394,7566155,871808549
전라북도,869080009,13477266,882557275
제주특별자치도,945481016,175042308,1120523324
충청남도,1155410112,17505204,1172915316
충청북도,1008055447,12877087,1020932534
