지역명,2018,2019,2020,2021,합계
제주특별자치도,0.7675350020292642,0.772388941784832,0.7709934007465675,0.7632542197843111,3.0741715643449745
대구광역시,0.5785736928149554,0.6273533676885014,0.6200324829123063,0.6783586438074595,2.5043181872232227
서울특별시,0.6043591278222705,0.6278028964224445,0.6022562998035645,0.6266680964661747,2.4610864205144543
대전광역시,0.5616746937362715,0.6330808951522789,0.6026674592270076,0.6322897302488981,2.4297127783644563
광주광역시,0.5939922347074673,0.60988540052671,0.5456270051103483,0.6336913612527207,2.3831960015972466
전라남도,0.5300261337434276,0.5873246201964136,0.6030257582640741,0.6161487557661103,2.3365252679700257
부산광역시,0.5522539124188179,0.6041835247882908,0.5679867242557455,0.6028204178838046,2.327244579346659
경상북도,0.5159175665947096,0.5404295988170318,0.5252057975039875,0.606302889929725,2.1878558528454537
전라북도,0.4804294646617584,0.537537022325482,0.49440305770808224,0.5621629558345136,2.074532500529836
충청남도,0.45791688209804715,0.505228343186005,0.5121936829952163,0.5972699227608561,2.0726088310401245
충청북도,0.5076732932452036,0.49999857908646783,0.4716379714077219,0.5342039391218978,2.013513782861291
강원도,0.4614860764747576,0.505169003584761,0.47454398999811925,0.5569728536217058,1.9981719236793436
울산광역시,0.44200599322848044,0.46324490684821384,0.42316943445265925,0.5900797679852502,1.9185001025146038
경기도,0.4379560728847841,0.4406105890222798,0.42613826222168666,0.48785804075332506,1.7925629648820756
경상남도,0.44535366720967123,0.4667146573847926,0.4526537814809079,0.11555839540266771,1.4802805014780396
인천광역시,0.30503605467371797,0.3200142881203946,0.3365854129646782,0.45427475058463396,1.4159105063434247
세종특별자치시,0.10223384722592904,0.10951966254930881,0.11437179521554539,0.27875738092370284,0.604882685914486
