지역명,2018,2019,2020,2021
강원도,0.27679288534582597,0.2884566100350689,0.33314513479793606,0.31468077306244935
경기도,0.3489334940529479,0.3652570270153212,0.40204483574363026,0.3712563858656184
경상남도,0.11371728228362338,0.1126293218609386,0.12449283978153314,0.11890896546481833
경상북도,0.06638701014341303,0.06716011034302066,0.0812573989486941,0.12236419246261965
광주광역시,0.25228016729171027,0.2755795207470197,0.3715183989741946,0.27029961733410146
대구광역시,0.3157613381779815,0.2979640411557803,0.34013790300559976,0.3524427317504685
대전광역시,0.5124667346447498,0.48447749053741124,0.45160624735719435,0.44377072015193153
부산광역시,0.7009948425150785,0.6458790944905015,0.6033232045809831,0.5152405700316174
서울특별시,0.9899940337249296,1.0000000000000002,0.7772828495220152,0.6624228708737473
세종특별자치시,0.0,0.0,0.0,0.0
울산광역시,0.17430724559255956,0.16015799567338723,0.16902277150952105,0.14733411227488946
인천광역시,0.9384691135290788,0.6620074380537908,0.4332410009939889,0.3032594527136028
전라남도,0.07423540623871555,0.10633961009358067,0.17226887960432802,0.14024191966448907
전라북도,0.09207069419420738,0.09800247668962553,0.11387644208575942,0.09214251833914378
제주특별자치도,1.0,0.9303066787580627,1.0,1.0
충청남도,0.17078351217294846,0.15609734692096416,0.180075770417217,0.18199975107531408
충청북도,0.2279599430328984,0.2246289509344403,0.30600737474808226,0.298922859314365
