지역명,관광객수
강원도,590233943
경기도,3982913370
경상남도,964363372
경상북도,789484072
광주광역시,417170763
대구광역시,740069161
대전광역시,458041955
부산광역시,1053308101
서울특별시,3499263758
세종특별자치시,77831172
울산광역시,328007511
인천광역시,785810633
전라남도,530181061
전라북도,526618099
제주특별자치도,252989577
충청남도,643203183
충청북도,493088512
