,사고번호,사고일시,시군구,구,구변수,시간,시간별사고(전체),시간별사고(구)
304,2021022800100284,2021년 2월 28일 18시,대구광역시 중구 남일동,중구,7,18,177,20
305,2021030100100012,2021년 3월 1일 01시,대구광역시 달서구 본동,달서구,1,1,35,8
306,2021030100100214,2021년 3월 1일 16시,대구광역시 수성구 범어동,수성구,6,16,159,30
307,2021030100100296,2021년 3월 1일 18시,대구광역시 동구 지저동,동구,3,18,177,20
308,2021030100100410,2021년 3월 1일 21시,대구광역시 달서구 성당동,달서구,1,21,118,42
309,2021030100100412,2021년 3월 1일 21시,대구광역시 북구 연경동,북구,4,21,118,14
310,2021030100100444,2021년 3월 1일 22시,대구광역시 달서구 용산동,달서구,1,22,104,24
311,2021030200100259,2021년 3월 2일 14시,대구광역시 중구 남산동,중구,7,14,127,7
312,2021030200100399,2021년 3월 2일 18시,대구광역시 동구 동호동,동구,3,18,177,20
313,2021030300100022,2021년 3월 3일 04시,대구광역시 동구 신암동,동구,3,4,18,3
314,2021030300100159,2021년 3월 3일 10시,대구광역시 남구 대명동,남구,0,10,91,7
315,2021030300100161,2021년 3월 3일 10시,대구광역시 북구 국우동,북구,4,10,91,14
316,2021030300100293,2021년 3월 3일 14시,대구광역시 달서구 성당동,달서구,1,14,127,34
317,2021030300100518,2021년 3월 3일 22시,대구광역시 북구 태전동,북구,4,22,104,17
318,2021030400100042,2021년 3월 4일 06시,대구광역시 서구 내당동,서구,5,6,43,11
319,2021030400100267,2021년 3월 4일 15시,대구광역시 서구 중리동,서구,5,15,152,12
320,2021030400100323,2021년 3월 4일 17시,대구광역시 북구 동천동,북구,4,17,145,27
321,2021030400100441,2021년 3월 4일 20시,대구광역시 달서구 두류동,달서구,1,20,133,39
322,2021030500100290,2021년 3월 5일 14시,대구광역시 수성구 범어동,수성구,6,14,127,18
323,2021030500100334,2021년 3월 5일 15시,대구광역시 중구 동성로2가,중구,7,15,152,19
324,2021030500100371,2021년 3월 5일 16시,대구광역시 남구 대명동,남구,0,16,159,11
325,2021030500100409,2021년 3월 5일 17시,대구광역시 중구 대봉동,중구,7,17,145,6
326,2021030500100453,2021년 3월 5일 18시,대구광역시 남구 봉덕동,남구,0,18,177,11
327,2021030600100021,2021년 3월 6일 01시,대구광역시 달서구 본리동,달서구,1,1,35,8
328,2021030700100375,2021년 3월 7일 22시,대구광역시 동구 불로동,동구,3,22,104,13
329,2021030800100118,2021년 3월 8일 08시,대구광역시 달서구 본동,달서구,1,8,81,25
330,2021030800100300,2021년 3월 8일 14시,대구광역시 남구 대명동,남구,0,14,127,9
331,2021030800100459,2021년 3월 8일 18시,대구광역시 달서구 본리동,달서구,1,18,177,47
332,2021030800100562,2021년 3월 8일 21시,대구광역시 동구 신암동,동구,3,21,118,11
333,2021030800100584,2021년 3월 8일 22시,대구광역시 달서구 장기동,달서구,1,22,104,24
334,2021030900100020,2021년 3월 9일 04시,대구광역시 수성구 만촌동,수성구,6,4,18,2
335,2021030900100129,2021년 3월 9일 10시,대구광역시 달서구 대곡동,달서구,1,10,91,23
336,2021030900100167,2021년 3월 9일 11시,대구광역시 남구 대명동,남구,0,11,88,9
337,2021030900100224,2021년 3월 9일 13시,대구광역시 남구 대명동,남구,0,13,101,7
338,2021030900100227,2021년 3월 9일 13시,대구광역시 북구 칠성동1가,북구,4,13,101,21
339,2021030900100228,2021년 3월 9일 13시,대구광역시 서구 평리동,서구,5,13,101,8
340,2021030900100313,2021년 3월 9일 16시,대구광역시 수성구 만촌동,수성구,6,16,159,30
341,2021030900100355,2021년 3월 9일 17시,대구광역시 서구 평리동,서구,5,17,145,12
342,2021030900100420,2021년 3월 9일 19시,대구광역시 달성군 현풍읍,달성군,2,19,142,13
343,2021030900100450,2021년 3월 9일 20시,대구광역시 수성구 황금동,수성구,6,20,133,25
344,2021031000100183,2021년 3월 10일 11시,대구광역시 달서구 상인동,달서구,1,11,88,17
345,2021031000100215,2021년 3월 10일 12시,대구광역시 북구 복현동,북구,4,12,104,13
346,2021031000100250,2021년 3월 10일 13시,대구광역시 동구 효목동,동구,3,13,101,19
347,2021031000100339,2021년 3월 10일 15시,대구광역시 북구 학정동,북구,4,15,152,22
348,2021031000100373,2021년 3월 10일 16시,대구광역시 수성구 신매동,수성구,6,16,159,30
349,2021031000100447,2021년 3월 10일 18시,대구광역시 수성구 수성동4가,수성구,6,18,177,28
350,2021031000100514,2021년 3월 10일 20시,대구광역시 수성구 황금동,수성구,6,20,133,25
351,2021031100100177,2021년 3월 11일 11시,대구광역시 수성구 두산동,수성구,6,11,88,13
352,2021031100100204,2021년 3월 11일 12시,대구광역시 서구 상리동,서구,5,12,104,11
353,2021031100100256,2021년 3월 11일 14시,대구광역시 달서구 두류동,달서구,1,14,127,34
354,2021031100100365,2021년 3월 11일 17시,대구광역시 북구 노원동3가,북구,4,17,145,27
355,2021031200100052,2021년 3월 12일 07시,대구광역시 북구 복현동,북구,4,7,47,9
356,2021031200100198,2021년 3월 12일 12시,대구광역시 중구 대봉동,중구,7,12,104,6
357,2021031200100224,2021년 3월 12일 13시,대구광역시 달서구 월암동,달서구,1,13,101,26
358,2021031200100423,2021년 3월 12일 18시,대구광역시 동구 신천동,동구,3,18,177,20
359,2021031200100425,2021년 3월 12일 18시,대구광역시 수성구 지산동,수성구,6,18,177,28
360,2021031200100428,2021년 3월 12일 18시,대구광역시 북구 고성동1가,북구,4,18,177,28
361,2021031200100429,2021년 3월 12일 18시,대구광역시 달서구 신당동,달서구,1,18,177,47
362,2021031200100588,2021년 3월 12일 22시,대구광역시 동구 신기동,동구,3,22,104,13
363,2021031200100618,2021년 3월 12일 23시,대구광역시 달서구 두류동,달서구,1,23,54,16
364,2021031300100159,2021년 3월 13일 11시,대구광역시 동구 방촌동,동구,3,11,88,13
365,2021031300100162,2021년 3월 13일 11시,대구광역시 서구 비산동,서구,5,11,88,7
366,2021031300100320,2021년 3월 13일 15시,대구광역시 수성구 지산동,수성구,6,15,152,26
367,2021031400100350,2021년 3월 14일 20시,대구광역시 북구 태전동,북구,4,20,133,12
368,2021031500100096,2021년 3월 15일 08시,대구광역시 달서구 신당동,달서구,1,8,81,25
369,2021031500100191,2021년 3월 15일 11시,대구광역시 동구 신암동,동구,3,11,88,13
370,2021031500100310,2021년 3월 15일 15시,대구광역시 북구 칠성동1가,북구,4,15,152,22
371,2021031500100341,2021년 3월 15일 16시,대구광역시 수성구 수성동1가,수성구,6,16,159,30
372,2021031500100432,2021년 3월 15일 18시,대구광역시 달서구 두류동,달서구,1,18,177,47
373,2021031600100030,2021년 3월 16일 03시,대구광역시 수성구 황금동,수성구,6,3,11,3
374,2021031600100184,2021년 3월 16일 10시,대구광역시 수성구 고모동,수성구,6,10,91,20
375,2021031600100252,2021년 3월 16일 12시,대구광역시 달서구 두류동,달서구,1,12,104,22
376,2021031600100283,2021년 3월 16일 13시,대구광역시 달서구 두류동,달서구,1,13,101,26
377,2021031600100376,2021년 3월 16일 16시,대구광역시 동구 율하동,동구,3,16,159,26
378,2021031600100462,2021년 3월 16일 18시,대구광역시 달서구 호림동,달서구,1,18,177,47
379,2021031600100542,2021년 3월 16일 21시,대구광역시 동구 방촌동,동구,3,21,118,11
380,2021031700100316,2021년 3월 17일 15시,대구광역시 서구 평리동,서구,5,15,152,12
381,2021031700100433,2021년 3월 17일 18시,대구광역시 수성구 범어동,수성구,6,18,177,28
382,2021031700100537,2021년 3월 17일 21시,대구광역시 달서구 신당동,달서구,1,21,118,42
383,2021031700100538,2021년 3월 17일 21시,대구광역시 북구 태전동,북구,4,21,118,14
384,2021031800100379,2021년 3월 18일 17시,대구광역시 수성구 시지동,수성구,6,17,145,28
385,2021031800100487,2021년 3월 18일 21시,대구광역시 수성구 만촌동,수성구,6,21,118,20
386,2021031900100024,2021년 3월 19일 03시,대구광역시 중구 삼덕동1가,중구,7,3,11,1
387,2021031900100260,2021년 3월 19일 13시,대구광역시 달서구 감삼동,달서구,1,13,101,26
388,2021031900100379,2021년 3월 19일 16시,대구광역시 달성군 다사읍,달성군,2,16,159,9
389,2021031900100511,2021년 3월 19일 19시,대구광역시 서구 내당동,서구,5,19,142,11
390,2021031900100594,2021년 3월 19일 21시,대구광역시 북구 구암동,북구,4,21,118,14
391,2021031900100659,2021년 3월 19일 23시,대구광역시 수성구 지산동,수성구,6,23,54,12
392,2021032000100008,2021년 3월 20일 00시,대구광역시 달서구 두류동,달서구,1,0,46,15
393,2021032000100016,2021년 3월 20일 01시,대구광역시 달서구 본리동,달서구,1,1,35,8
394,2021032000100030,2021년 3월 20일 04시,대구광역시 중구 삼덕동1가,중구,7,4,18,3
395,2021032000100046,2021년 3월 20일 06시,대구광역시 중구 삼덕동1가,중구,7,6,43,4
396,2021032000100171,2021년 3월 20일 12시,대구광역시 서구 원대동3가,서구,5,12,104,11
397,2021032000100211,2021년 3월 20일 13시,대구광역시 동구 효목동,동구,3,13,101,19
398,2021032000100253,2021년 3월 20일 14시,대구광역시 달서구 이곡동,달서구,1,14,127,34
399,2021032000100273,2021년 3월 20일 15시,대구광역시 달서구 송현동,달서구,1,15,152,28
400,2021032000100405,2021년 3월 20일 19시,대구광역시 서구 평리동,서구,5,19,142,11
401,2021032100100072,2021년 3월 21일 09시,대구광역시 수성구 만촌동,수성구,6,9,92,13
402,2021032100100085,2021년 3월 21일 10시,대구광역시 동구 신기동,동구,3,10,91,10
403,2021032100100284,2021년 3월 21일 17시,대구광역시 서구 비산동,서구,5,17,145,12
404,2021032100100429,2021년 3월 21일 23시,대구광역시 중구 공평동,중구,7,23,54,8
405,2021032200100058,2021년 3월 22일 07시,대구광역시 남구 봉덕동,남구,0,7,47,5
406,2021032200100103,2021년 3월 22일 08시,대구광역시 달서구 월성동,달서구,1,8,81,25
407,2021032200100139,2021년 3월 22일 09시,대구광역시 북구 산격동,북구,4,9,92,17
408,2021032200100201,2021년 3월 22일 11시,대구광역시 남구 봉덕동,남구,0,11,88,9
409,2021032200100223,2021년 3월 22일 12시,대구광역시 달성군 다사읍,달성군,2,12,104,4
410,2021032200100261,2021년 3월 22일 13시,대구광역시 북구 관음동,북구,4,13,101,21
411,2021032200100335,2021년 3월 22일 15시,대구광역시 북구 검단동,북구,4,15,152,22
412,2021032200100337,2021년 3월 22일 15시,대구광역시 달서구 신당동,달서구,1,15,152,28
413,2021032200100370,2021년 3월 22일 16시,대구광역시 달성군 다사읍,달성군,2,16,159,9
414,2021032200100417,2021년 3월 22일 17시,대구광역시 수성구 수성동2가,수성구,6,17,145,28
415,2021032200100450,2021년 3월 22일 18시,대구광역시 서구 비산동,서구,5,18,177,13
416,2021032200100539,2021년 3월 22일 21시,대구광역시 중구 동성로2가,중구,7,21,118,11
417,2021032300100114,2021년 3월 23일 09시,대구광역시 달서구 본리동,달서구,1,9,92,26
418,2021032300100143,2021년 3월 23일 10시,대구광역시 달서구 본리동,달서구,1,10,91,23
419,2021032300100170,2021년 3월 23일 11시,대구광역시 북구 산격동,북구,4,11,88,21
420,2021032300100528,2021년 3월 23일 21시,대구광역시 달서구 상인동,달서구,1,21,118,42
421,2021032300100529,2021년 3월 23일 21시,대구광역시 달서구 상인동,달서구,1,21,118,42
422,2021032300100575,2021년 3월 23일 23시,대구광역시 동구 신암동,동구,3,23,54,5
423,2021032400100011,2021년 3월 24일 01시,대구광역시 서구 내당동,서구,5,1,35,5
424,2021032400100033,2021년 3월 24일 05시,대구광역시 달서구 감삼동,달서구,1,5,29,7
425,2021032400100195,2021년 3월 24일 11시,대구광역시 남구 봉덕동,남구,0,11,88,9
426,2021032400100284,2021년 3월 24일 14시,대구광역시 북구 침산동,북구,4,14,127,21
427,2021032400100286,2021년 3월 24일 14시,대구광역시 북구 관음동,북구,4,14,127,21
428,2021032400100395,2021년 3월 24일 17시,대구광역시 북구 노원동3가,북구,4,17,145,27
429,2021032400100481,2021년 3월 24일 19시,대구광역시 달성군 다사읍,달성군,2,19,142,13
430,2021032500100007,2021년 3월 25일 00시,대구광역시 달서구 이곡동,달서구,1,0,46,15
431,2021032500100012,2021년 3월 25일 01시,대구광역시 서구 평리동,서구,5,1,35,5
432,2021032500100034,2021년 3월 25일 05시,대구광역시 북구 산격동,북구,4,5,29,3
433,2021032500100116,2021년 3월 25일 09시,대구광역시 달서구 성당동,달서구,1,9,92,26
434,2021032500100256,2021년 3월 25일 13시,대구광역시 수성구 수성동1가,수성구,6,13,101,15
435,2021032500100343,2021년 3월 25일 15시,대구광역시 달서구 상인동,달서구,1,15,152,28
436,2021032500100459,2021년 3월 25일 18시,대구광역시 중구 봉산동,중구,7,18,177,20
437,2021032500100495,2021년 3월 25일 19시,대구광역시 동구 율하동,동구,3,19,142,19
438,2021032500100500,2021년 3월 25일 19시,대구광역시 북구 구암동,북구,4,19,142,28
439,2021032500100529,2021년 3월 25일 20시,대구광역시 수성구 두산동,수성구,6,20,133,25
440,2021032600100339,2021년 3월 26일 15시,대구광역시 중구 남산동,중구,7,15,152,19
441,2021032600100340,2021년 3월 26일 15시,대구광역시 중구 대봉동,중구,7,15,152,19
442,2021032600100341,2021년 3월 26일 15시,대구광역시 달서구 장기동,달서구,1,15,152,28
443,2021032600100520,2021년 3월 26일 19시,대구광역시 수성구 두산동,수성구,6,19,142,23
444,2021032700100028,2021년 3월 27일 01시,대구광역시 북구 국우동,북구,4,1,35,5
445,2021032700100276,2021년 3월 27일 14시,대구광역시 달성군 다사읍,달성군,2,14,127,8
446,2021032700100505,2021년 3월 27일 19시,대구광역시 동구 효목동,동구,3,19,142,19
447,2021032700100507,2021년 3월 27일 19시,대구광역시 동구 입석동,동구,3,19,142,19
448,2021032700100510,2021년 3월 27일 19시,대구광역시 달성군 다사읍,달성군,2,19,142,13
