지역명,2018,2019,2020,2021
강원도,0.629648672050919,0.6340242522021173,0.6369309896531958,0.6406846916822503
경기도,0.04213364594699756,0.041102723717479944,0.03979192548870768,0.038229221122774555
경상남도,0.21372354208085453,0.21575166351192193,0.2185183961258742,0.22070885446800442
경상북도,0.23953438692675993,0.24201865379272047,0.2460891245013751,0.24772932439723216
광주광역시,0.013865959200558171,0.01389300363914061,0.013948239500089415,0.013555916480243853
대구광역시,0.02394419764308818,0.024613230808895256,0.025053087182204656,0.025360956225832197
대전광역시,0.019303504271098004,0.019930822964674508,0.020260791961172406,0.020080502749365355
부산광역시,0.011281234721446681,0.011650526270986422,0.011804984833971348,0.011789368057862834
서울특별시,0.0,0.0,0.0,0.0
세종특별자치시,0.04765025634269984,0.04031095664288774,0.036431482838090654,0.03206639314416137
울산광역시,0.06173661126578642,0.06266535666052545,0.06391569821875814,0.06481564495805339
인천광역시,0.04578772926295675,0.04581312999231808,0.04624032076988706,0.045432375356764164
전라남도,0.36948014384549166,0.37476643556591566,0.3806638166809881,0.3858252240450644
전라북도,0.23860765157849256,0.24273163975195233,0.24628770416389578,0.24934452616985953
제주도,1.0000000000000002,1.0,1.0,0.9999999999999999
충청남도,0.2481606770242707,0.24986661217243722,0.2514413297964024,0.25191128779900673
충청북도,0.16042140968071517,0.16112850336302284,0.16168247700901694,0.1619813112133923
