,도시명,cm2018_mm,cm2019_mm,cm2020_mm,cm2021_mm,nd2018_mm,nd2019_mm,nd2020_mm,nd2021_mm,sd2018_mm,sd2019_mm,sd2020_mm,sd2021_mm
0,서울특별시,0.8571428571428569,1.0000000000000002,0.9565217391304344,0.8500000000000003,0.9999999999999999,0.9999999999999998,1.0,1.0,0.6153846153846152,0.6666666666666673,0.7058823529411757,0.7037037037037032
1,부산광역시,0.31428571428571395,0.40625,0.4347826086956519,0.24999999999999978,0.5265486725663718,0.537444933920705,0.5183246073298429,0.48299319727891166,0.7692307692307689,0.8333333333333334,0.8529411764705881,0.6666666666666664
2,대구광역시,0.5428571428571421,0.6875,0.7391304347826082,0.5,0.5353982300884955,0.5330396475770927,0.5654450261780102,0.4829931972789113,0.10256410256410253,0.19444444444444453,0.4411764705882352,0.2592592592592592
3,인천광역시,0.9142857142857143,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.8274336283185845,0.7973568281938328,0.7801047120418849,0.8435374149659867,0.7179487179487178,0.8888888888888894,0.9411764705882353,0.7407407407407401
4,광주광역시,0.8571428571428569,0.6875,0.565217391304347,1.0000000000000002,0.42920353982300874,0.4669603524229075,0.382198952879581,0.3537414965986394,0.05128205128205099,0.1666666666666664,0.5882352941176467,0.6296296296296292
5,대전광역시,0.5999999999999993,0.5312499999999996,0.521739130434782,0.9000000000000006,0.5309734513274339,0.5418502202643172,0.5916230366492143,0.5578231292517004,0.0,0.13888888888888884,0.41176470588235287,0.6666666666666664
6,울산광역시,0.9142857142857143,0.8125000000000002,0.913043478260869,0.7500000000000002,0.5663716814159293,0.5726872246696035,0.617801047120419,0.6394557823129254,1.0,1.0,1.0,0.8148148148148148
7,세종특별자치시,0.9999999999999999,0.9375000000000002,0.9565217391304348,0.9500000000000004,0.48672566371681425,0.5374449339207048,0.5916230366492146,0.5170068027210883,0.07692307692307665,0.3611111111111108,0.7647058823529407,0.8148148148148143
8,경기도,0.7428571428571423,0.84375,0.8260869565217386,0.8500000000000003,0.8097345132743367,0.7841409691629957,0.7643979057591623,0.707482993197279,0.4358974358974359,0.527777777777778,0.7352941176470582,0.7037037037037032
9,강원도,0.6285714285714282,0.6562499999999998,0.6086956521739133,0.8000000000000005,0.3274336283185839,0.13215859030837002,0.13089005235602086,0.09523809523809534,0.05128205128205121,0.11111111111111105,0.49999999999999983,0.40740740740740755
10,충청북도,0.7714285714285708,0.6875,0.7391304347826082,0.8500000000000003,0.588495575221239,0.484581497797357,0.40314136125654415,0.3605442176870748,0.35897435897435903,0.38888888888888895,0.6764705882352937,0.37037037037037035
11,충청남도,0.7428571428571423,0.8750000000000004,0.6956521739130432,0.7500000000000002,0.3008849557522122,0.25550660792951513,0.3036649214659683,0.30612244897959184,0.41025641025641035,0.527777777777778,0.7941176470588234,0.9999999999999999
12,전라북도,0.7714285714285712,0.46875,0.30434782608695654,0.2999999999999998,0.21238938053097334,0.171806167400881,0.19371727748691098,0.19047619047619047,0.41025641025641035,0.41666666666666685,0.6764705882352937,0.5555555555555552
13,전라남도,0.7142857142857139,0.7812500000000004,0.6521739130434783,0.7000000000000004,0.19911504424778748,0.10572687224669591,0.12041884816753928,0.10204081632653061,0.7692307692307687,0.6944444444444448,0.7058823529411762,0.6666666666666664
14,경상북도,0.7428571428571428,0.59375,0.4782608695652171,0.7000000000000004,0.28761061946902644,0.2334801762114535,0.20418848167539244,0.17006802721088443,0.4358974358974359,0.44444444444444475,0.8235294117647054,0.7407407407407401
15,경상남도,0.6285714285714284,0.5937500000000002,0.5652173913043474,0.7000000000000004,0.4646017699115045,0.38325991189427305,0.3821989528795809,0.34013605442176853,0.4871794871794872,0.44444444444444475,0.6764705882352937,0.6666666666666664
16,제주특별자치도,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512820512820511,0.0,0.0,0.0
