지역명,관광객수
강원도,565656573
경기도,3857830507
경상남도,943200354
경상북도,797876360
광주광역시,474298563
대구광역시,805092622
대전광역시,491747353
부산광역시,1092309816
서울특별시,3787843152
세종특별자치시,66456674
울산광역시,331464498
인천광역시,686785532
전라남도,515538772
전라북도,539467576
제주특별자치도,269832416
충청남도,631604041
충청북도,501500392
