년도,구 분,이산화탄소 (CO2),메탄 (CH4),아산화질소(N2O)
2018,서 울,11710,50,84
2018,부 산,6435,14,60
2018,대 구,4502,10,34
2018,인 천,5683,15,40
2018,광 주,2725,5,21
2018,대 전,2492,5,19
2018,울 산,1846,4,14
2018,세 종,423,0,3
2018,경 기,18384,42,123
2018,강 원,2250,2,15
2018,충 북,2776,3,20
2018,충 남,3552,2,25
2018,전 북,3032,3,21
2018,전 남,3954,4,29
2018,경 북,4517,4,32
2018,경 남,5600,5,40
2018,제 주,1993,0,12
