년도,구 분,이산화탄소 (CO2),메탄 (CH4),아산화질소(N2O)
2020,서 울,10796,43,72
2020,부 산,6199,13,53
2020,대 구,4252,9,30
2020,인 천,5510,9,35
2020,광 주,2638,5,19
2020,대 전,2364,6,17
2020,울 산,1765,3,12
2020,세 종,458,0,2
2020,경 기,17869,19,108
2020,강 원,2179,1,13
2020,충 북,2735,2,18
2020,충 남,3424,2,22
2020,전 북,2935,3,19
2020,전 남,3903,4,27
2020,경 북,4363,3,29
2020,경 남,5504,5,36
2020,제 주,2015,0,11
