,구별시간별사고량,차량등록대수,구별공원총면적,구별공원개수,구별관광지개수,구전체추정교통량,구별시간대별추정교통량,구별보행자교통사고량,구별인구수,구별혼잡빈도강도,구별혼잡시간강도,구별관광객수
구별시간별사고량,1.0,0.30474780155017756,0.12632738193421947,0.29303177995571716,-0.481594467592314,0.19525978778159622,0.38508407731844974,0.429401647697608,0.3130679823354297,0.5343064674956496,0.41873540604723236,0.19572865941303427
차량등록대수,0.30474780155017756,1.0,0.6416921040935527,0.9323827883634684,-0.44117231798045065,-0.5396102451699964,0.32119178617366606,0.937002975008673,0.9910478680018145,0.19471143995301332,0.08422892501199748,0.9602624925949866
구별공원총면적,0.12632738193421947,0.6416921040935527,1.0,0.6035917550698662,-0.08152699015816671,-0.5063425853530956,0.32525756491803176,0.6704130292765904,0.6249449367703735,-0.31606794453329634,-0.16363825537059307,0.5791144985458339
구별공원개수,0.29303177995571716,0.9323827883634684,0.6035917550698662,1.0,-0.25875228882050166,-0.6404758800074677,0.4027549196757659,0.8878511430867695,0.9124415771204225,0.3318687969678339,0.1760368818198716,0.8596400482431494
구별관광지개수,-0.481594467592314,-0.44117231798045065,-0.08152699015816671,-0.25875228882050166,1.0,-0.45369415132291524,-0.08055966909993083,-0.5479677636061467,-0.511086921751797,-0.433537968212916,-0.2948910712492616,-0.43758679303090925
구전체추정교통량,0.19525978778159622,-0.5396102451699964,-0.5063425853530956,-0.6404758800074677,-0.45369415132291524,1.0,-0.28826727824833487,-0.30847940894143283,-0.5064253112780042,0.2789328640756008,0.43611780273444467,-0.4757884170037868
구별시간대별추정교통량,0.38508407731844974,0.32119178617366606,0.32525756491803176,0.4027549196757659,-0.08055966909993083,-0.28826727824833487,1.0,0.31602833277765796,0.33506203596604445,0.1287764786293242,-0.001501957375374855,0.23117011120761738
구별보행자교통사고량,0.429401647697608,0.937002975008673,0.6704130292765904,0.8878511430867695,-0.5479677636061467,-0.30847940894143283,0.31602833277765796,1.0,0.9185573205200062,0.340357763879297,0.3531195868893604,0.8980999579244369
구별인구수,0.3130679823354297,0.9910478680018145,0.6249449367703735,0.9124415771204225,-0.511086921751797,-0.5064253112780042,0.33506203596604445,0.9185573205200062,1.0,0.19105593439729002,0.024696658095241224,0.9440377109987118
구별혼잡빈도강도,0.5343064674956496,0.19471143995301332,-0.31606794453329634,0.3318687969678339,-0.433537968212916,0.2789328640756008,0.1287764786293242,0.340357763879297,0.19105593439729002,1.0,0.7858052333234151,0.09776963754286598
구별혼잡시간강도,0.41873540604723236,0.08422892501199748,-0.16363825537059307,0.1760368818198716,-0.2948910712492616,0.43611780273444467,-0.001501957375374855,0.3531195868893604,0.024696658095241224,0.7858052333234151,1.0,0.0846214805504779
구별관광객수,0.19572865941303427,0.9602624925949866,0.5791144985458339,0.8596400482431494,-0.43758679303090925,-0.4757884170037868,0.23117011120761738,0.8980999579244369,0.9440377109987118,0.09776963754286598,0.0846214805504779,1.0
