,lat,long,cluster
0,35.8400384,128.530592,2
1,35.8532393,128.4917736,1
2,35.8109973,128.5403241,0
4,35.8571675,128.5140209,1
5,35.8360755,128.5330472,2
10,35.8570898,128.4992795,1
13,35.850088,128.5344181,2
14,35.8472127,128.542333,2
17,35.8509155,128.5732908,2
28,35.8551308,128.4963268,1
34,35.8448927,128.523808,1
41,35.8292088,128.5473659,2
53,35.8577765,128.5088545,1
63,35.8548572,128.4984809,1
68,35.8493407,128.5697919,2
70,35.8561183,128.5536455,2
77,35.8237141,128.5456175,0
79,35.8524434,128.5455013,2
83,35.8452707,128.5446009,2
86,35.8155859,128.5466702,0
87,35.8127727,128.527736,0
90,35.8338536,128.5487363,2
97,35.8381849,128.535924,2
99,35.8125641,128.5443512,0
100,35.8543651,128.5344871,2
103,35.8566588,128.5545841,2
109,35.8105256,128.546352,0
112,35.8222111,128.5306553,0
113,35.8476445,128.5325892,2
120,35.8180763,128.534654,0
122,35.8582176,128.5128353,1
124,35.8271761,128.5310449,0
147,35.8382081,128.557022,2
149,35.8548031,128.4984799,1
150,35.8595493,128.564905,2
155,35.8308326,128.5312623,0
156,35.8159467,128.523158,0
157,35.8616531,128.5723759,2
160,35.8556632,128.5524269,2
166,35.8520678,128.5075549,1
168,35.8502522,128.5200216,1
169,35.8535702,128.4984667,1
170,35.8265909,128.5480629,2
172,35.8589696,128.521161,1
173,35.8368391,128.5368627,2
178,35.859711,128.4962288,1
184,35.8515574,128.4815957,1
185,35.8398526,128.5542393,2
188,35.8103681,128.5156021,0
190,35.8197774,128.5343733,0
194,35.8425482,128.5340584,2
195,35.8389861,128.5158696,1
196,35.8335413,128.5544218,2
197,35.8028094,128.5508629,0
198,35.8449704,128.5369411,2
199,35.8552044,128.5545505,2
202,35.8588357,128.532971,2
203,35.811009,128.526595,0
210,35.8558422,128.5534679,2
216,35.8375391,128.5339526,2
219,35.8288022,128.5498217,2
220,35.8116168,128.5355293,0
230,35.8533481,128.5489123,2
231,35.8225694,128.5276145,0
232,35.858839,128.5211141,1
239,35.8370183,128.5526781,2
241,35.8473479,128.5261093,2
244,35.8572235,128.5151295,1
245,35.8554488,128.5022905,1
246,35.830454,128.5555196,2
248,35.8140114,128.5148494,0
252,35.8375045,128.5429993,2
253,35.8076644,128.5241265,0
256,35.8296755,128.5506047,2
259,35.8549145,128.550031,2
261,35.8338057,128.5513795,2
266,35.8491023,128.5307402,2
267,35.8354478,128.5321574,2
271,35.8415935,128.5526646,2
288,35.8276728,128.5490444,2
298,35.854888,128.4984739,1
305,35.837049,128.5369088,2
308,35.8434601,128.5528915,2
310,35.8589194,128.5211325,1
316,35.845398,128.5449866,2
321,35.8544742,128.5522528,2
327,35.8418846,128.5366656,2
329,35.8364275,128.5382449,2
331,35.8395832,128.5439774,2
333,35.8446114,128.5275107,2
335,35.8069555,128.5192761,0
344,35.8177487,128.5397803,0
353,35.8536296,128.5553683,2
357,35.8330342,128.5159211,0
361,35.8556258,128.4957626,1
363,35.8544698,128.5562509,2
368,35.855432,128.49712,1
372,35.8563022,128.5741166,2
375,35.8543245,128.5703407,2
376,35.8507501,128.5585228,2
378,35.8357253,128.490393,1
382,35.8541825,128.4922331,1
387,35.853784,128.5457637,2
392,35.8589273,128.5622675,2
393,35.8404453,128.5378835,2
398,35.8554066,128.5051896,1
399,35.830467,128.549773,2
406,35.819956,128.5300785,0
412,35.8596544,128.5002498,1
417,35.8392577,128.5333339,2
418,35.839845,128.5329773,2
420,35.8139336,128.5336642,0
421,35.8197783,128.5305251,0
430,35.8530283,128.5049715,1
433,35.841602,128.5561491,2
435,35.813502,128.5401232,0
442,35.8435733,128.5317812,2
449,35.8221404,128.5307056,0
453,35.8537077,128.5186569,1
457,35.8329215,128.5159328,0
460,35.8354785,128.5307208,2
470,35.8535162,128.549793,2
471,35.8125971,128.5261705,0
473,35.8593485,128.5203649,1
476,35.8265475,128.5537026,2
477,35.8520034,128.5000963,1
485,35.8250592,128.524115,0
488,35.854856,128.4933608,1
497,35.8148437,128.522277,0
506,35.8412866,128.530703,2
509,35.8396708,128.5564239,2
510,35.8586272,128.4918899,1
512,35.8224654,128.5487559,0
522,35.8484026,128.5412334,2
530,35.8555334,128.5257856,1
539,35.8456543,128.534605,2
545,35.8424066,128.4999142,1
546,35.8155076,128.5338507,0
548,35.8472296,128.5373512,2
549,35.8149508,128.5438277,0
551,35.8452223,128.5468619,2
552,35.8156319,128.5467093,0
554,35.8559075,128.5252776,1
555,35.8423648,128.5479787,2
558,35.8587534,128.5211363,1
559,35.8179148,128.5163434,0
569,35.8152945,128.5283373,0
571,35.8221573,128.520675,0
576,35.8549171,128.4977048,1
580,35.8130493,128.5339681,0
582,35.8079907,128.5162121,0
583,35.8459608,128.5445179,2
591,35.8406974,128.5392944,2
596,35.8074229,128.5204455,0
602,35.8530543,128.4744761,1
603,35.8113964,128.5217564,0
607,35.821615,128.551396,0
617,35.8339805,128.5461439,2
620,35.813215,128.5252603,0
621,35.8202871,128.5513719,0
626,35.850234,128.5306582,2
635,35.8080896,128.5241465,0
637,35.850012,128.537904,2
643,35.8176705,128.5058698,0
651,35.8554706,128.5027948,1
653,35.833748,128.5532902,2
657,35.8639037,128.4902617,1
659,35.857341,128.5128187,1
676,35.833206,128.5159427,0
678,35.830555,128.5494909,2
679,35.8499586,128.5345272,2
680,35.8497742,128.5343982,2
684,35.8153305,128.52946,0
689,35.8118609,128.5253874,0
690,35.8553006,128.5099413,1
691,35.8554093,128.5086794,1
693,35.822943,128.52702,0
697,35.8543973,128.4940253,1
699,35.8572664,128.5101441,1
701,35.8419944,128.5360644,2
702,35.80565,128.5360108,0
711,35.8500894,128.5282605,2
720,35.8169792,128.5464535,0
721,35.8523957,128.5428492,2
723,35.8340452,128.54129,2
725,35.836941,128.5539164,2
735,35.8540845,128.5312974,2
738,35.8446159,128.5339456,2
741,35.8586709,128.5392203,2
754,35.8078312,128.5359586,0
755,35.8155687,128.5338474,0
760,35.8531598,128.5078969,1
763,35.8155235,128.5316481,0
765,35.8164546,128.5229323,0
769,35.8280995,128.5491101,2
772,35.8551153,128.5687336,2
777,35.8313493,128.5295601,0
779,35.8273543,128.5516994,2
782,35.8546296,128.5125795,1
788,35.8523081,128.5449379,2
789,35.8589124,128.5253369,1
792,35.8135792,128.521545,0
795,35.8313951,128.5338996,0
796,35.8542091,128.5517478,2
797,35.8417547,128.5372192,2
798,35.8186602,128.5401395,0
811,35.8374494,128.5340452,2
812,35.8471373,128.5668811,2
814,35.8242896,128.5252389,0
815,35.8125175,128.5232693,0
818,35.8122216,128.5369617,0
822,35.8242703,128.5253237,0
824,35.820953,128.5467169,0
826,35.8500513,128.5305276,2
827,35.8416381,128.5528701,2
828,35.844423,128.5158051,1
832,35.8088842,128.5515544,0
833,35.8237528,128.5339823,0
834,35.813213,128.5282529,0
835,35.8254922,128.5223224,0
837,35.8515833,128.5587482,2
839,35.8436013,128.5367463,2
844,35.8357821,128.5446869,2
846,35.8284727,128.5197218,0
850,35.855316,128.512565,1
854,35.8158897,128.5310867,0
860,35.8551996,128.552899,2
863,35.8140101,128.5241209,0
865,35.8531477,128.5154503,1
866,35.8084201,128.5516308,0
869,35.8171436,128.5325406,0
870,35.8264396,128.5454815,0
873,35.7989203,128.5308165,0
879,35.854725,128.5419565,2
884,35.8147384,128.5267252,0
889,35.8552592,128.5180004,1
891,35.8421006,128.5305408,2
895,35.8061678,128.5118593,0
901,35.8437607,128.5325261,2
903,35.8062357,128.5487719,0
905,35.8061805,128.5173593,0
906,35.8193266,128.5214506,0
907,35.8536617,128.5439457,2
911,35.8483331,128.5277939,2
913,35.8041764,128.5352639,0
915,35.8494185,128.5369871,2
920,35.8133791,128.5205157,0
923,35.8494558,128.5706831,2
925,35.8252648,128.5208695,0
926,35.8516861,128.5076715,1
929,35.8542841,128.5074517,1
932,35.8592957,128.5621485,2
934,35.8435904,128.53961,2
936,35.8161916,128.5426327,0
941,35.8561707,128.5699009,2
942,35.837805,128.5447554,2
943,35.8148293,128.5384238,0
958,35.8093058,128.5125155,0
966,35.8518146,128.5052455,1
967,35.8153242,128.5201669,0
968,35.8597047,128.4968214,1
978,35.8267266,128.5439627,0
983,35.8440342,128.5414859,2
988,35.8179923,128.53852,0
991,35.825706,128.5467313,0
995,35.8499209,128.5336207,2
997,35.8345739,128.5554848,2
1008,35.8541036,128.5540346,2
1016,35.8507386,128.5591414,2
1017,35.8170867,128.5383534,0
1020,35.8270473,128.5312517,0
1022,35.8530966,128.4989014,1
1023,35.8182917,128.5382529,0
1024,35.8206033,128.5169523,0
1027,35.8590155,128.5694205,2
1028,35.8205589,128.5319597,0
1032,35.8189763,128.533671,0
1034,35.8399919,128.5306596,2
1037,35.8512802,128.5094503,1
1039,35.845092,128.5307648,2
1040,35.8373048,128.5488138,2
1044,35.8160199,128.5400147,0
1047,35.8146553,128.5265688,0
1062,35.8177814,128.5381717,0
1066,35.8554493,128.5059719,1
1078,35.846368,128.5359932,2
1079,35.8453174,128.4929543,1
1081,35.8588372,128.5288127,2
1088,35.8519426,128.5437057,2
1090,35.8119341,128.5176494,0
1102,35.8529255,128.5049404,1
1105,35.831522,128.5338898,0
1110,35.8524485,128.5428814,2
1114,35.8541013,128.5075805,1
1116,35.8515181,128.5411705,2
1118,35.8273216,128.5578762,2
1134,35.8518823,128.4847226,1
1136,35.8506381,128.5143771,1
1137,35.8179703,128.5193462,0
1140,35.8313855,128.5322482,0
1141,35.813028,128.5261526,0
1142,35.8078847,128.5357758,0
1152,35.839484,128.5305103,2
1153,35.8556398,128.4942309,1
1171,35.833786,128.5513711,2
1177,35.8592281,128.492225,1
1178,35.85567,128.5533432,2
1180,35.8362165,128.4881404,1
1192,35.8505348,128.5297159,2
1193,35.8247003,128.5461283,0
1205,35.850714,128.5163962,1
1208,35.8078756,128.5358222,0
1212,35.8390261,128.551682,2
1215,35.8372082,128.549008,2
1216,35.8530482,128.5513917,2
1218,35.8569383,128.5305776,2
1228,35.8435266,128.5294063,2
1233,35.8529116,128.4750458,1
1237,35.8206227,128.5464183,0
1239,35.8511115,128.5590335,2
1245,35.8536518,128.5371534,2
1246,35.8182618,128.5367027,0
1247,35.8495477,128.5367693,2
1248,35.8132429,128.5388028,0
1250,35.8504467,128.5169408,1
1258,35.8121805,128.5262053,0
1261,35.823157,128.5285653,0
1265,35.8578981,128.5289065,2
1267,35.8139278,128.5226542,0
1268,35.8541598,128.4979511,1
1269,35.8338596,128.550106,2
1274,35.8128429,128.5181206,0
