지역명,2018,2019,2020,2021
강원도,0.1316672849970582,0.12955931835073836,0.13121433686144396,0.13125278153292572
경기도,1.0000000000000002,1.0,1.0,1.0
경상남도,0.23124696181865534,0.23186285187729905,0.2270201125226097,0.2219175927820405
경상북도,0.1929167943381752,0.1960480049941661,0.18223762367011767,0.18276371961913335
광주광역시,0.10757100380082725,0.10304207274635466,0.08689691376375991,0.09778134378808044
대구광역시,0.19482013131254317,0.19590956998592324,0.1695836234482253,0.16600852870615673
대전광역시,0.11217323791663149,0.11048738197407901,0.09736306784905223,0.09242705751542156
부산광역시,0.27057557159650314,0.27017970556399934,0.24979677239562165,0.24277900298376712
서울특별시,0.9815403708305331,0.9531980267087309,0.8761486730682129,0.8588124310374491
세종특별자치시,0.0,0.0,0.0,0.0
울산광역시,0.06989757161200516,0.06865329694039596,0.06406429527351015,0.060047565529934954
인천광역시,0.16361585148915597,0.19325495698060266,0.18129694206247282,0.17551579859452568
전라남도,0.11844838250747088,0.1205973640904518,0.11583620166348162,0.12411053474703906
전라북도,0.12475976330345688,0.12452564207689931,0.1149238106255094,0.12232941904383574
제주특별자치도,0.053641701124226754,0.052223394600452284,0.0448539610996429,0.05358993770654279
충청남도,0.14906136717012047,0.1531801600382792,0.14477851741240094,0.14472320274053632
충청북도,0.11474566665344181,0.11529541137362811,0.10633766946382726,0.10442012918419014
