지역명,내국인지출,외국인지출,합계
강원도,1205190494,29822512,1235013006
경기도,8890262647,315896667,9206159314
경상남도,1584694921,41733471,1626428392
경상북도,1250975920,18578944,1269554864
광주광역시,990044775,12783069,1002827844
대구광역시,1811689196,34386593,1846075789
대전광역시,1372071467,27736048,1399807515
부산광역시,3344017630,344915857,3688933487
서울특별시,12815890953,3057200375,15873091328
세종특별자치시,92641757,685349,93327106
울산광역시,615420466,12669770,628090236
인천광역시,2277657721,500750700,2778408421
전라남도,824148572,7547276,831695848
전라북도,885970579,11407137,897377716
제주특별자치도,931591453,206749477,1138340930
충청남도,1171551782,19007542,1190559324
충청북도,1012212897,13803128,1026016025
