lat,long
35.8400384,128.530592
35.8532393,128.4917736
35.8109973,128.5403241
35.8571675,128.5140209
35.8360755,128.5330472
35.8570898,128.4992795
35.850088,128.5344181
35.8472127,128.542333
35.8509155,128.5732908
35.8551308,128.4963268
35.8448927,128.523808
35.8292088,128.5473659
35.8577765,128.5088545
35.8548572,128.4984809
35.8493407,128.5697919
35.8561183,128.5536455
35.8237141,128.5456175
35.8524434,128.5455013
35.8452707,128.5446009
35.8155859,128.5466702
35.8127727,128.527736
35.8338536,128.5487363
35.8381849,128.535924
35.8125641,128.5443512
35.8543651,128.5344871
35.8566588,128.5545841
35.8105256,128.546352
35.8222111,128.5306553
35.8476445,128.5325892
35.8180763,128.534654
35.8582176,128.5128353
35.8271761,128.5310449
35.8382081,128.557022
35.8548031,128.4984799
35.8595493,128.564905
35.8308326,128.5312623
35.8159467,128.523158
35.8616531,128.5723759
35.8556632,128.5524269
35.8520678,128.5075549
35.8502522,128.5200216
35.8535702,128.4984667
35.8265909,128.5480629
35.8589696,128.521161
35.8368391,128.5368627
35.859711,128.4962288
35.8515574,128.4815957
35.8398526,128.5542393
35.8103681,128.5156021
35.8197774,128.5343733
35.8425482,128.5340584
35.8389861,128.5158696
35.8335413,128.5544218
35.8028094,128.5508629
35.8449704,128.5369411
35.8552044,128.5545505
35.8588357,128.532971
35.811009,128.526595
35.8558422,128.5534679
35.8375391,128.5339526
35.8288022,128.5498217
35.8116168,128.5355293
35.8533481,128.5489123
35.8225694,128.5276145
35.858839,128.5211141
35.8370183,128.5526781
35.8473479,128.5261093
35.8572235,128.5151295
35.8554488,128.5022905
35.830454,128.5555196
35.8140114,128.5148494
35.8375045,128.5429993
35.8076644,128.5241265
35.8296755,128.5506047
35.8549145,128.550031
35.8338057,128.5513795
35.8491023,128.5307402
35.8354478,128.5321574
35.8415935,128.5526646
35.8276728,128.5490444
35.854888,128.4984739
35.837049,128.5369088
35.8434601,128.5528915
35.8589194,128.5211325
35.845398,128.5449866
35.8544742,128.5522528
35.8418846,128.5366656
35.8364275,128.5382449
35.8395832,128.5439774
35.8446114,128.5275107
35.8069555,128.5192761
35.8177487,128.5397803
35.8536296,128.5553683
35.8330342,128.5159211
35.8556258,128.4957626
35.8544698,128.5562509
35.855432,128.49712
