lat,long
35.859641,128.637762
35.8480502,128.6113061
35.8376167,128.6157343
35.8285584,128.617914
35.8586181,128.6213153
35.8247365,128.6412903
35.8261602,128.6272864
35.8446107,128.6167268
35.8206326,128.6341468
35.8415834,128.7021449
35.8756064,128.6483975
35.820813,128.6329542
35.8634493,128.6196915
35.8290913,128.6107698
35.8529571,128.6241943
35.8597342,128.6132069
35.8351905,128.6289431
35.8550486,128.638061
35.8392121,128.622503
35.8283069,128.6279649
35.8228589,128.6270999
35.8419224,128.6232172
35.8646353,128.6239478
35.8671714,128.615123
35.8631868,128.626398
35.8425347,128.6901383
35.8320358,128.7072634
35.8549614,128.6251821
35.8501438,128.6084168
35.8037503,128.6629405
35.8518714,128.7227489
35.8605875,128.6474227
35.8552759,128.6257375
35.8325359,128.6206725
35.8699726,128.6487963
35.8461091,128.6721884
35.8213612,128.6316503
35.8584744,128.6322792
35.8515414,128.6235794
35.8215845,128.643313
35.8425182,128.6315998
35.8229187,128.6419919
35.8350188,128.6157067
35.8641723,128.6352988
35.8346666,128.6086113
35.872167,128.6403753
35.8253346,128.6434837
35.8260664,128.6126971
35.8627826,128.6136367
35.8391406,128.7079783
35.8376726,128.623018
35.8594212,128.6242126
35.8586213,128.6249958
35.8513246,128.6207216
35.8567354,128.7098291
35.8353727,128.7101649
35.8608224,128.6239615
35.8622521,128.6253444
35.8576313,128.6466528
35.8659388,128.6468055
35.8400626,128.6293895
35.839371,128.704517
35.8601147,128.6176812
35.8444843,128.6167694
35.8320065,128.6206665
35.8215078,128.631742
35.8210365,128.6307422
35.8563738,128.6097096
35.8408734,128.6238973
35.8569465,128.6589728
35.8638712,128.6285405
35.8422838,128.6999778
35.8528412,128.6525329
35.8216021,128.6401667
35.868426,128.6495611
35.8595902,128.6170093
35.8501609,128.6108253
35.8255509,128.6209293
35.8344818,128.6209009
35.8222022,128.6294275
35.822332,128.6288305
35.8260595,128.6277759
35.8235969,128.6372664
35.8621009,128.6356533
35.8222295,128.6411082
35.8680384,128.6419526
35.8254417,128.6360096
35.8570146,128.6224813
35.8427302,128.6182897
35.8405817,128.6168866
35.8381447,128.6211863
35.8698908,128.6324935
35.843817,128.6241818
35.8202241,128.6311468
35.8410018,128.7066887
35.8402914,128.7075772
35.8222387,128.6290096
35.8414131,128.6308031
35.8595782,128.6251854
35.8532977,128.6402468
35.8747524,128.6419764
35.8471958,128.6203035
35.8442041,128.6241802
35.8551967,128.6514873
35.8695122,128.6411687
35.8634937,128.6341276
35.8442661,128.7015221
35.8299116,128.6206585
35.8414207,128.6078133
35.8546331,128.6514337
35.8195023,128.6413644
35.8746248,128.6417631
35.8590028,128.6313565
35.8538625,128.617068
35.8439894,128.6243151
35.8222297,128.6352753
35.8487407,128.6370742
35.8585153,128.638212
35.8363997,128.7126866
35.8256897,128.6335204
35.8400439,128.7059185
35.8423974,128.7115345
35.8319933,128.6218563
35.8303104,128.6205067
