lat,long
35.8672288,128.5987449
35.866099,128.5986668
35.8736817,128.5852288
35.8686121,128.5980072
35.8697948,128.593837
35.8665095,128.5975162
35.8701516,128.5995962
35.866919,128.598925
35.8661783,128.5986951
35.8666409,128.5923107
35.8670876,128.597511
35.8666067,128.5988189
35.8690414,128.5960395
35.8710015,128.5939763
35.8569696,128.5814711
35.8670767,128.5989748
35.8677712,128.5978741
35.8732482,128.6097757
35.8689372,128.5964998
35.8687731,128.5821662
35.8745202,128.5947117
35.8693548,128.5937853
35.8570339,128.5846928
35.8679894,128.5953907
35.8626159,128.60505
35.8605133,128.6006857
35.8659641,128.5986267
35.8665269,128.5988126
35.8659767,128.5986411
35.8686464,128.5981311
35.8707278,128.5961675
35.866719,128.596287
35.8594323,128.5764047
35.8572405,128.5972384
35.8706264,128.6042866
35.8671236,128.5976739
35.866342,128.5987625
35.8593428,128.5763403
35.8671571,128.5889729
35.867858,128.5936253
35.8677997,128.5984754
35.8667981,128.5998517
35.8701838,128.5997325
35.8669592,128.5989204
35.8670604,128.5995317
35.8709358,128.59442
35.867154,128.5990034
35.8661483,128.5986873
35.8637621,128.6103136
35.869558,128.5983918
35.8671365,128.5990009
35.8605302,128.5834549
35.8671132,128.5771262
35.8652088,128.5983878
35.8703476,128.5796867
35.8609755,128.5856262
35.8564015,128.5970802
35.872096,128.5941339
35.8731275,128.6087211
35.8715925,128.6071711
35.8699305,128.5872844
35.8682085,128.5891072
35.8689074,128.60653
35.8682188,128.5967305
35.8670532,128.5989935
35.8658043,128.5985752
35.8671743,128.5899954
35.8671075,128.5990088
35.8752008,128.5964702
35.8715195,128.5909406
35.8669871,128.5998052
35.8597491,128.5825663
35.8725679,128.5957847
35.8745104,128.597797
35.8689714,128.5982178
35.8684007,128.5919166
35.8683473,128.6118313
35.8702896,128.5888039
35.8729345,128.608749
35.8676054,128.5899875
35.8702461,128.5866198
35.8689479,128.591699
35.86702,128.5995295
35.8611009,128.5928816
35.8670783,128.5935808
35.8665736,128.5988423
35.8682061,128.5821961
35.8665701,128.5865019
35.8690019,128.5937667
35.8676188,128.5991526
35.8684211,128.5980643
35.8728615,128.5794836
35.865012,128.5968086
35.8648613,128.5962808
35.8681018,128.5968878
35.8729186,128.5938748
35.8714237,128.5910293
35.8740364,128.5822196
35.8643988,128.5887203
35.869707,128.5821467
35.8663241,128.5876254
35.8661665,128.5986958
35.8613231,128.6009907
35.8660573,128.5986557
35.8716179,128.5947752
35.8682491,128.5959833
35.8652503,128.5929959
35.8605578,128.6006859
35.8698846,128.6097714
35.8670128,128.588012
35.8747159,128.5820179
35.8686495,128.5979445
35.8570556,128.5900381
35.8710179,128.5941506
35.870987,128.5943139
35.8682391,128.5937915
35.8681659,128.5936323
35.8668447,128.5989214
35.866445,128.5821968
35.8677706,128.5986718
35.866981,128.5999159
35.8677448,128.5991986
35.8681729,128.5938115
35.8649108,128.5977691
35.8671024,128.599222
35.8693098,128.5983097
35.865608,128.603267
35.8651618,128.5822717
35.866841,128.598882
35.867025,128.599670
35.8669441,128.605904
35.8578095,128.5858056
35.869487,128.6094127
35.867011,128.598966
35.866975,128.598934
35.8707822,128.5841739
35.861212,128.592612
35.8680383,128.5948107
35.866441,128.5994634
35.8671192,128.599847
35.8634831,128.5824716
35.8728035,128.579567
35.8685898,128.598194
35.867042,128.598969
35.8693034,128.6122734
35.8656273,128.5985202
35.8648528,128.5978774
35.8636687,128.5773583
35.8609711,128.6049382
35.867390,128.599082
35.8654956,128.6032397
35.8701315,128.579493
35.8720325,128.597428
35.8662794,128.5868159
