lat,long
35.87332197,128.6012226
35.88924171,128.5613693
35.83696706,128.5262938
35.87178167,128.7240314
35.90982089,128.548423
35.86813573,128.5935747
35.89003054,128.5999472
35.85742357,128.4654016
35.85507219,128.6039138
35.87613071,128.5947701
35.80841948,128.5434803
35.84724139,128.5372117
35.86299434,128.5565779
35.88399494,128.563371
35.87053467,128.6256967
35.83987294,128.5983795
35.79878353,128.5030049
35.70438575,128.4383614
35.85635731,128.5830691
35.76995839,128.4735697
35.89187005,128.5900231
35.89011713,128.6003362
35.85616155,128.523119
35.69374643,128.4699215
35.88884077,128.5669368
35.78088949,128.6441145
35.88625704,128.5796318
35.85649403,128.530632
35.81719834,128.5322824
35.85257161,128.5439622
35.87866568,128.7523853
35.88177327,128.6648619
35.8513892,128.5371439
