lat,long
35.8599484,128.5746566
35.8586059,128.5776122
35.8582341,128.5784834
35.8564222,128.5825404
35.8562887,128.5828243
35.8563017,128.5829009
35.8562735,128.5828864
35.8560148,128.5829298
35.8546711,128.5830564
35.854303,128.5832885
35.8537069,128.5831842
35.8546141,128.5844959
35.8563382,128.5842844
35.8563542,128.5843521
35.8534776,128.583706
35.852348,128.5821882
35.8517901,128.5835029
35.8513693,128.5860364
35.8527987,128.5874228
35.8563289,128.5893952
35.8561426,128.5889153
35.8554223,128.5904833
35.8546061,128.590534
35.8541651,128.5907638
35.8559787,128.5970199
35.8559918,128.596526
35.8548798,128.6067196
35.8548339,128.608784
35.8531658,128.6071852
35.848296,128.603977
35.8459251,128.6043104
35.8470464,128.6027354
35.8449727,128.6027854
35.844993,128.6024854
35.8442162,128.6039604
35.84196,128.604277
35.8410548,128.6043854
35.8450781,128.6006595
35.8447484,128.6006087
35.8448573,128.5990031
35.8450193,128.5982585
35.8467211,128.5987307
35.8502955,128.59852
35.849905,128.5970028
35.8502511,128.5907458
35.8516142,128.5914759
35.8469387,128.5904826
35.8471919,128.5913072
35.8463645,128.5906098
35.8470594,128.5898324
35.8454429,128.5906134
35.8462144,128.5931234
35.845119,128.593029
35.8438264,128.5912709
35.8479599,128.5876568
35.8468309,128.5859565
35.8472491,128.5847526
35.8457883,128.5879979
35.8455701,128.5879455
35.8454731,128.5879156
35.8448427,128.589284
35.8446306,128.5888055
35.8438401,128.5871868
35.8437267,128.5871437
35.8440565,128.5866388
35.85527,128.5771825
35.8528716,128.5773632
35.8513095,128.5792674
35.8519816,128.5737032
35.8495602,128.5724139
35.8495159,128.5724764
35.8494209,128.5725037
35.8467986,128.5671145
35.8465611,128.5662853
35.8434463,128.5707894
35.8419196,128.5724955
35.8415863,128.5729726
35.8396004,128.5762547
35.8400575,128.5767223
35.8392391,128.5759304
35.8386501,128.5770733
35.838928,128.577204
35.8373794,128.5782435
35.8376088,128.5789864
35.8368874,128.5797156
35.8362406,128.5768136
35.8377631,128.5753261
35.8370287,128.5747014
35.8384562,128.5741509
35.8391589,128.573737
35.8380954,128.5714022
35.8398014,128.5713631
35.8370583,128.5747326
35.8351351,128.573484
35.8351149,128.5735465
35.8341634,128.5751696
35.8362182,128.5768176
35.8360344,128.5685309
35.8384475,128.5645757
35.8408883,128.5642363
35.8407733,128.5692161
35.8420998,128.5609763
35.8420678,128.5609248
35.8419921,128.560903
35.8395425,128.5602243
35.8391098,128.5605124
35.8382846,128.559961
35.8382911,128.5585855
35.8378556,128.5586652
35.8374593,128.5588058
35.8373572,128.55881
35.837051,128.5589128
35.8358654,128.559429
35.8369779,128.5605097
35.8346166,128.5671101
35.8335868,128.5630418
35.8328886,128.5588631
35.8313333,128.5739356
35.8414866,128.5829191
35.8412891,128.5828277
35.8405237,128.5807001
35.8405414,128.5799604
35.84062,128.57995
35.8386558,128.5818635
35.8439264,128.5800359
35.8429071,128.5782172
35.8429424,128.5748974
35.8451185,128.5744797
35.8451185,128.5749191
35.845108,128.5760765
35.8468996,128.5768771
35.8459262,128.5784478
35.8459368,128.5800751
35.847545,128.5801055
35.8480952,128.5798575
35.8485849,128.5759806
35.8383728,128.6033236
35.8364037,128.6046601
35.8350181,128.6056625
35.8385811,128.5987614
35.8333615,128.6007405
35.8325696,128.6010103
35.8320174,128.6020256
35.8308609,128.6025653
35.8326947,128.5978746
35.8356224,128.5951374
35.8368488,128.598281
35.838684,128.5983132
35.838684,128.5979376
35.839946,128.596772
35.840447,128.5972714
35.8401282,128.595461
35.8394541,128.560505

