,2018,2019,2020,2021
강원도,0.5033911345543273,0.5688846011641571,0.5233864357926843,0.6534201500037927
경기도,0.38195432568626186,0.38344160154814916,0.3572328384752964,0.5427302562562629
경상남도,0.4370852677563416,0.47820658192456394,0.45651183882761326,0.0
경상북도,0.5335459251766455,0.5845071208586978,0.5613649563220856,0.6964824809123866
광주광역시,0.6447152283802648,0.6684240784716096,0.5866476991512054,0.7087337776886968
대구광역시,0.6359992279475672,0.7013216324685745,0.6798993955293632,0.7982303711413566
대전광역시,0.6161269313693454,0.7223312116358203,0.6737993162107582,0.713399271747234
부산광역시,0.5745472254202055,0.6533435773976259,0.5991614644446496,0.6853994705127101
서울특별시,0.6076426963979484,0.6289123219780681,0.5774659356247211,0.6664238828004891
세종특별자치시,0.0,0.0,0.0,0.23708121680574076
울산광역시,0.4071889877095928,0.44683760050663407,0.3851415916726012,0.6411628499438745
인천광역시,0.2426067403325589,0.2407220641412547,0.2563709068225939,0.44029527768656573
전라남도,0.5729339290402974,0.6582263863131881,0.6861994023593018,0.7186229575822005
전라북도,0.48735657590681136,0.5779777428079147,0.5174922600505923,0.6253471386810807
제주도,0.9999999999999998,0.9999999999999998,0.9999999999999999,1.0000000000000002
충청남도,0.47026291765551564,0.5224693333221377,0.5254481334998663,0.6569435739167843
충청북도,0.5324877799211625,0.5263598156169227,0.4873923695758666,0.5983585466861169
